"Age","spBrand","spAge","spWBUseFreq","spSEUseFreq","spComfInstallBrowser","spComfDefaultBrowserChange","spComfDefaultSearchChange","Sex","GUID","spComfInstallBrowser_recode","spComfDefaultBrowserChange_recode","spComfDefaultSearchChange_recode","Ethnicity","Education","Income","spComfort"
48,NA,NA,NA,NA,NA,NA,NA,2,"232e001a-edd0-4d85-a698-3705087ec5f0",NA,NA,NA,"Hispanic or Latino","University/Higher Education","$25,000 - $49,999",NA
20,1,3,1,1,3,3,3,1,"23587948-37fe-4a6c-9cca-4e73750ed3a0",2,2,2,"White","University/Higher Education","",2
33,7,1,1,1,5,5,5,2,"2382af3e-0442-3125-0cbc-98a944dba9d5",4,4,4,"White","High School/Tertiary/Tech. College","",4
40,11,2,1,1,4,4,4,2,"2456a78f-5c55-5b64-920d-907d33a9bb66",3,3,3,"White","University/Higher Education","",3
65,1,1,1,2,3,3,3,1,"2490a05f-4d39-a7aa-1add-97bba1c11bb7",2,2,2,"Black or African American","University/Higher Education","$25,000 - $49,999",2
65,16,1,2,4,4,3,3,1,"249ab49c-6aad-9d52-5e1e-83b17e7eaa75",3,2,2,"White","University/Higher Education","",2.33333333333333
45,NA,NA,NA,NA,2,1,5,2,"24c55d4a-4bfc-e726-01c8-6aee3849aca2",1,0,4,"Other","University/Higher Education","$25,000 - $49,999",1.66666666666667
26,16,2,1,1,5,5,4,2,"24f6e6f2-c534-1df5-3270-d1dd2f03001a",4,4,3,"White","High School/Tertiary/Tech. College","",3.66666666666667
41,16,3,2,1,3,4,4,2,"253bd03e-6856-31e6-ffbc-e7100f746dd7",2,3,3,"Asian","University/Higher Education","",2.66666666666667
31,8,2,4,4,1,4,4,1,"253e105a-b6ec-22ff-fad8-271590a351b0",0,3,3,"White","High School/Tertiary/Tech. College","",2
79,1,2,1,1,1,1,2,1,"25608547-fef5-0473-a4c5-b24b714f79ab",0,0,1,"White","High School/Tertiary/Tech. College;High School/Tertiary/Tech. College","$15,000 - $24,999",0.333333333333333
34,16,1,1,1,5,5,5,2,"25834826-a0ce-6dd1-47a4-7fa8362844c1",4,4,4,"White","University/Higher Education","",4
66,4,1,2,2,5,5,5,2,"259352fc-a6fb-5ad4-4b7e-65b85fcf6311",4,4,4,"White","University/Higher Education","$15,000 - $24,999",4
62,7,5,2,3,4,2,2,2,"25b78fb8-0942-905d-723a-b89c0c5bcf54",3,1,1,"Hispanic or Latino","High School/Tertiary/Tech. College","$25,000 - $49,999",1.66666666666667
63,6,2,2,1,3,3,3,2,"25c3a6f7-c400-3915-1b75-91e88b9c2518",2,2,2,"Black or African American","High School/Tertiary/Tech. College","",2
71,9,1,1,1,3,3,3,1,"26472911-5e06-017d-9f93-1e6cd82edaf9",2,2,2,"White","High School/Tertiary/Tech. College","$15,000 - $24,999",2
77,NA,NA,NA,NA,1,1,1,1,"265d937b-11df-a232-85f9-a476f3b2f596",0,0,0,"White","University/Higher Education","$25,000 - $49,999",0
40,4,1,4,4,2,2,3,1,"266491e6-a870-accc-bc64-a64f404f4b0a",1,1,2,"American Indian or Alaska Native","University/Higher Education","",1.33333333333333
50,16,3,1,1,4,4,3,1,"2677a29c-4a40-a4fc-af1e-955cd67a8f71",3,3,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",2.66666666666667
38,NA,NA,NA,NA,NA,NA,NA,1,"2682aa45-8278-9f7e-5ac7-9da9710e79a8",NA,NA,NA,"White","University/Higher Education","",NA
67,1,1,1,1,NA,5,5,1,"26a73391-7a20-a730-2913-048c0fb42979",NA,4,4,"White","University/Higher Education","$80,000 - $99,999",NA
48,16,1,1,1,1,5,5,1,"26b4d135-ec00-ff52-68b7-e69f8542e3d8",0,4,4,"White","University/Higher Education","$100,000 - $149,999",2.66666666666667
71,NA,NA,NA,NA,NA,NA,NA,2,"272c1d18-43f4-3d6b-e89a-2a07d8a8a6ff",NA,NA,NA,"White","University/Higher Education","",NA
63,16,4,4,2,5,5,5,2,"28275c8d-be0b-fc1a-fe0f-6b0c13cb3465",4,4,4,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",4
21,16,2,1,1,3,3,3,1,"2836b473-e6cf-16a6-e9f1-831d8d161e99",2,2,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",2
32,16,2,1,1,4,4,4,1,"283d5a09-9413-a167-f98b-6d16b03674e1",3,3,3,"Hispanic or Latino","University/Higher Education","$25,000 - $49,999",3
37,1,1,2,2,4,4,4,1,"28485041-f84b-8a95-8cc3-67634e6a38bf",3,3,3,"White","University/Higher Education","",3
45,1,3,2,2,4,4,4,1,"2875c44f-b868-8fd2-fdcd-f35e859ceca4",3,3,3,"White","High School/Tertiary/Tech. College","$100,000 - $149,999",3
23,NA,NA,NA,NA,2,3,4,1,"28994d99-3437-6e7c-411b-7ab24968d076",1,2,3,"White","University/Higher Education","",2
55,1,3,3,4,2,1,1,1,"2905e896-057e-d4c7-dd14-df2ef082e17b",1,0,0,"White","Postgraduate Education","$15,000 - $24,999",0.333333333333333
18,1,1,2,2,5,5,5,2,"2913a776-f4bb-c58b-caf4-9038a4241580",4,4,4,"","University/Higher Education","",4
56,11,3,1,1,5,5,5,2,"29453c46-79d0-0c4d-80c4-0b6e1efdbfab",4,4,4,"White","University/Higher Education","$50,000 - $79,999",4
57,21,1,1,2,2,3,3,1,"299b4ca5-b6e2-1efc-1327-7bb08c2c2242",1,2,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",1.66666666666667
35,7,3,3,3,5,4,5,2,"29eaaa67-ebd3-73e0-ece6-9dc1a231c88f",4,3,4,"White","University/Higher Education","$100,000 - $149,999",3.66666666666667
18,16,1,1,2,3,3,3,2,"2a623439-c903-c4c1-bbbb-0349207020d0",2,2,2,"Black or African American","Primary School","$15,000 - $24,999",2
76,1,1,2,1,2,2,2,1,"2a77a1cf-71e8-0144-b34d-965cad339631",1,1,1,"White","Postgraduate Education","$50,000 - $79,999",1
49,7,2,2,2,4,4,4,1,"2b867eb4-72e7-52eb-4336-49ad8837b55f",3,3,3,"American Indian or Alaska Native","High School/Tertiary/Tech. College","",3
73,1,6,1,1,5,5,5,2,"2bd2394a-c814-1104-0ac8-0ef9d3c040ad",4,4,4,"White","University/Higher Education","$25,000 - $49,999",4
65,NA,NA,NA,NA,3,3,3,1,"2bf013d8-f29a-454a-785a-24dbbb535a34",2,2,2,"White","Postgraduate Education","$25,000 - $49,999",2
44,NA,NA,NA,NA,3,3,3,1,"2c1d5a6c-faa3-5ce4-97ee-6d36a89aed81",2,2,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",2
27,NA,NA,NA,NA,NA,NA,NA,2,"2c5a0845-145f-223a-9ec7-3f712716f0ba",NA,NA,NA,"White","University/Higher Education","",NA
74,4,1,1,1,4,4,4,2,"2d0112d6-2b72-2714-c554-252a7d5bcf2e",3,3,3,"White","University/Higher Education","$100,000 - $149,999",3
44,4,2,4,3,2,4,4,2,"2d8ad3e3-09f5-dd5d-4e61-e4a1effeed0a",1,3,3,"White","University/Higher Education","",2.33333333333333
41,1,1,2,2,3,3,3,1,"2decdd18-ca1d-e136-289a-eac78d6d2dcd",2,2,2,"White","University/Higher Education","$80,000 - $99,999",2
25,1,2,1,1,5,5,5,2,"2e6e3f8a-17e9-1961-aa08-084549abd66d",4,4,4,"White","University/Higher Education","",4
64,NA,NA,NA,NA,NA,NA,NA,2,"2e6e4dda-5097-ec0b-b758-7a45734e9237",NA,NA,NA,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",NA
22,4,2,1,1,2,4,2,1,"2e96a9b0-beb7-3cf5-1832-9ebdfbd22457",1,3,1,"Black or African American","High School/Tertiary/Tech. College","$25,000 - $49,999",1.66666666666667
75,NA,NA,NA,NA,NA,NA,NA,2,"2e9765f5-5304-3292-1f77-52bc1d4d071d",NA,NA,NA,"White","University/Higher Education","$25,000 - $49,999",NA
85,4,1,1,6,1,1,1,2,"2ec26a84-fec4-8b35-1806-5de9efd63b69",0,0,0,"Asian","University/Higher Education","$25,000 - $49,999",0
72,11,4,4,4,4,4,4,2,"2ed4c50f-9343-1f3f-088d-f2ff7c146ee4",3,3,3,"White","University/Higher Education","$50,000 - $79,999",3
27,8,4,6,5,4,5,4,1,"2eecb8ea-c500-5967-2868-8fc7af1a2406",3,4,3,"White","University/Higher Education","",3.33333333333333
53,16,2,1,4,5,5,5,2,"2fb25cb1-122a-4464-7633-6b990a32f259",4,4,4,"White","High School/Tertiary/Tech. College","",4
58,4,2,1,1,5,4,NA,1,"2fdf02da-f0f6-f275-1b58-35f48cfb1522",4,3,NA,"White","University/Higher Education","",NA
45,NA,NA,NA,NA,NA,NA,NA,1,"3038df71-070c-d910-e0f3-e8131d69c69c",NA,NA,NA,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",NA
70,NA,NA,NA,NA,1,1,1,2,"30631c09-49a6-c7af-a78b-2b4800c6aedc",0,0,0,"Asian","University/Higher Education","$150,000 - $199,999",0
58,16,2,1,1,4,4,4,2,"310d2ffe-3632-b0ba-837c-182607abad0a",3,3,3,"White","University/Higher Education","",3
70,12,1,2,3,4,4,4,1,"3124698b-92e1-2434-ac09-5e0ffa2f0267",3,3,3,"White","University/Higher Education","$25,000 - $49,999",3
63,12,1,2,2,4,4,4,2,"31453eda-7e32-1778-9d58-096ee1d8b637",3,3,3,"White","Primary School","$0 - $14,999",3
67,1,1,6,6,2,2,2,1,"3151f8b0-67d5-034d-9532-cf7a38b0a35d",1,1,1,"Black or African American","University/Higher Education","$50,000 - $79,999",1
24,NA,NA,NA,NA,NA,NA,NA,1,"315b3bfa-0539-1ef6-9f78-0c704fdc0102",NA,NA,NA,"Black or African American","High School/Tertiary/Tech. College","",NA
36,10,4,1,2,5,4,4,1,"3191ce26-a848-dc27-49a4-f9bab8466dca",4,3,3,"Hispanic or Latino","University/Higher Education","$25,000 - $49,999",3.33333333333333
62,16,2,1,1,5,3,5,1,"319fca2d-a710-f6ff-47af-fdb46f6d6cc6",4,2,4,"Asian","University/Higher Education","$50,000 - $79,999",3.33333333333333
42,1,3,2,3,5,3,3,2,"31d61683-637c-0874-d102-21fd427e6864",4,2,2,"White","University/Higher Education","$150,000 - $199,999",2.66666666666667
75,1,1,7,7,1,1,1,1,"32500f1a-6956-770f-8e98-387b93d2a3e9",0,0,0,"White","University/Higher Education","$25,000 - $49,999",0
56,16,1,4,4,3,3,3,1,"327b96ff-413a-f8fd-a07d-a1503ed08808",2,2,2,"White","University/Higher Education","",2
18,4,1,2,2,3,2,3,1,"3283abe6-80ec-f028-0b64-9ca870b5280e",2,1,2,"White","None completed","$25,000 - $49,999",1.66666666666667
25,2,3,5,3,1,1,1,2,"3369dff8-9a6b-e33f-b17a-e84280526310",0,0,0,"Black or African American","University/Higher Education","$0 - $14,999",0
52,1,5,1,1,4,4,4,1,"339f908f-29be-c045-170d-a7b4657eb965",3,3,3,"White","University/Higher Education","$15,000 - $24,999",3
43,7,1,1,1,1,4,4,1,"33a71a5b-a669-13d0-63d9-2d8c844b46a9",0,3,3,"Hispanic or Latino","University/Higher Education","",2
41,1,1,1,1,5,4,5,1,"33cbd08b-0f37-f23d-0f09-e7e0f116e863",4,3,4,"White","Secondary School","$50,000 - $79,999",3.66666666666667
71,16,1,1,1,2,2,2,2,"340f4487-2465-172e-8705-73240da8bc60",1,1,1,"White","University/Higher Education","$50,000 - $79,999",1
42,2,2,2,4,5,5,5,2,"34849911-b401-b576-4193-aeafdfd173ee",4,4,4,"Hispanic or Latino","High School/Tertiary/Tech. College","",4
31,1,2,2,3,5,5,5,1,"34993288-aac0-ac2a-170a-05b21a52216f",4,4,4,"White","University/Higher Education","$100,000 - $149,999",4
25,NA,NA,NA,NA,3,3,3,1,"34a52766-1d5a-93db-7de4-108ef99dd6a1",2,2,2,"Asian","University/Higher Education","$80,000 - $99,999",2
18,NA,NA,NA,NA,NA,NA,NA,2,"34ddb1e6-a0d0-fed2-0464-86f640916501",NA,NA,NA,"White","High School/Tertiary/Tech. College","",NA
71,1,4,2,2,4,5,4,2,"34f280d9-f1af-d0d0-7a5b-b7d9016f5933",3,4,3,"White","University/Higher Education","$25,000 - $49,999",3.33333333333333
19,7,6,4,3,3,2,3,1,"3517dc0b-5fe1-fd1e-cf89-eb3c9032bbe2",2,1,2,"I prefer not to answer","University/Higher Education","",1.66666666666667
39,11,2,1,1,4,4,4,2,"3533617b-d816-48c4-f7f9-5618f65c3c90",3,3,3,"White","Secondary School","",3
24,NA,NA,NA,NA,1,1,1,2,"359afa9a-8ecb-3eb8-9c1b-cdb19db3447d",0,0,0,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",0
85,NA,NA,NA,NA,1,1,1,2,"3695ea77-2a19-0005-44f5-ddbe2a18e09e",0,0,0,"White","University/Higher Education","$100,000 - $149,999",0
67,NA,NA,NA,NA,NA,NA,NA,2,"371bc1ba-e655-923b-9338-f6303afaf257",NA,NA,NA,"Hispanic or Latino","University/Higher Education","$15,000 - $24,999",NA
45,16,2,1,1,5,5,5,1,"377ec797-7d35-cde0-a615-f055a413847a",4,4,4,"White","Postgraduate Education","$0 - $14,999",4
70,7,5,2,2,4,3,3,1,"385f2df6-255b-b379-d174-1a74cbc0381f",3,2,2,"White","University/Higher Education","$25,000 - $49,999",2.33333333333333
69,1,2,1,1,5,5,5,2,"3881dac2-b7f8-269d-4540-edaad384732f",4,4,4,"White","University/Higher Education","$80,000 - $99,999",4
18,1,3,3,2,1,5,4,1,"3888f4cf-cb02-c5b7-504d-c3a3ca333228",0,4,3,"Black or African American","High School/Tertiary/Tech. College","",2.33333333333333
20,NA,NA,NA,NA,3,2,3,1,"393b3b27-0b6e-a50b-b5a5-0c1045f782d6",2,1,2,"White","High School/Tertiary/Tech. College","",1.66666666666667
71,1,1,2,2,3,2,3,1,"39711ade-ebfe-3112-a95c-2d5a47d96036",2,1,2,"White","Postgraduate Education","$50,000 - $79,999",1.66666666666667
37,1,1,1,1,5,5,5,2,"398deace-9e96-b8c7-054c-dda638f8d626",4,4,4,"White","University/Higher Education","$100,000 - $149,999",4
87,11,2,1,4,1,1,1,1,"3998dfa4-6d01-8f46-1026-e8b315a17949",0,0,0,"White","University/Higher Education","$25,000 - $49,999",0
38,11,1,6,2,3,3,3,1,"39a0ee97-f39c-e32a-7815-d98bf4b20b7b",2,2,2,"White","Primary School","$50,000 - $79,999",2
45,7,3,1,1,3,5,5,1,"39b45b23-244e-7866-6da1-6c9fec93dfca",2,4,4,"White","University/Higher Education","",3.33333333333333
41,16,1,2,2,3,3,3,1,"39c8fcc5-d712-0dbe-0c47-cbe33ef35229",2,2,2,"Black or African American","University/Higher Education","",2
52,NA,NA,NA,NA,5,5,5,1,"3a5594a4-aecd-a788-9126-a37e46806a60",4,4,4,"White","None completed","",4
22,7,2,6,5,2,5,4,2,"3a6f40b9-c60c-de7e-e13b-774479965d51",1,4,3,"Black or African American","High School/Tertiary/Tech. College","",2.66666666666667
62,NA,NA,NA,NA,NA,NA,NA,1,"3aa83f26-d678-c72d-6ca4-0883ad4012c1",NA,NA,NA,"White","University/Higher Education","$25,000 - $49,999",NA
50,1,1,1,1,4,4,4,2,"3ae60388-ab07-5ffe-e109-34cdc8df7065",3,3,3,"White","University/Higher Education","$100,000 - $149,999",3
85,NA,NA,NA,NA,3,3,3,1,"3af5667d-69b9-367c-7dff-51de331a3da1",2,2,2,"White","Primary School","$25,000 - $49,999",2
64,1,1,1,1,2,2,2,1,"3b3f0a31-8c58-5330-b7b3-3d144a0a04d9",1,1,1,"White","University/Higher Education","$25,000 - $49,999",1
75,1,1,1,3,4,3,3,1,"3b9e6d87-0871-31eb-1605-5ab5cba95860",3,2,2,"White","University/Higher Education","$25,000 - $49,999",2.33333333333333
61,12,2,3,1,4,2,2,2,"3bf25ab7-9809-757d-3735-6dd90d447f5a",3,1,1,"Black or African American","High School/Tertiary/Tech. College","$50,000 - $79,999",1.66666666666667
58,16,5,4,4,1,2,2,1,"3c791526-74da-8fd8-bda4-22523643edcb",0,1,1,"Hispanic or Latino","University/Higher Education;University/Higher Education","$15,000 - $24,999",0.666666666666667
44,NA,NA,NA,NA,NA,NA,NA,1,"3cc212d7-069a-4281-4a55-25e9d856523a",NA,NA,NA,"Other","University/Higher Education","$25,000 - $49,999",NA
62,NA,NA,NA,NA,4,4,4,2,"3cda3a5b-e7a8-df2b-03d9-0df126ae25b6",3,3,3,"White","University/Higher Education","$80,000 - $99,999",3
25,4,1,1,2,5,4,5,1,"3d44ed1e-3a25-7808-ca9c-da6f89ac27f6",4,3,4,"White","High School/Tertiary/Tech. College","$0 - $14,999",3.66666666666667
94,NA,NA,NA,NA,3,3,3,1,"3d907613-8695-f687-5491-41bb192e01fe",2,2,2,"White","High School/Tertiary/Tech. College;High School/Tertiary/Tech. College","$50,000 - $79,999",2
55,11,2,2,5,3,3,3,2,"3dbe3b40-1fab-61ea-62c2-0c95897ce7ac",2,2,2,"Black or African American","University/Higher Education","$50,000 - $79,999",2
57,16,3,4,6,1,2,2,1,"3e0f5acc-9759-672c-cb4e-6d245ea61724",0,1,1,"White","High School/Tertiary/Tech. College","",0.666666666666667
58,4,1,2,3,3,3,3,2,"3e2833d1-6d50-6156-f053-0403b5198936",2,2,2,"White","High School/Tertiary/Tech. College","$0 - $14,999",2
49,10,1,1,1,5,5,5,1,"3e46413e-48de-de5d-c8bc-766d914315d2",4,4,4,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",4
58,NA,NA,NA,NA,NA,NA,NA,2,"3e691441-53c6-273a-b1c3-2342398e98ac",NA,NA,NA,"White","High School/Tertiary/Tech. College","$80,000 - $99,999",NA
70,16,1,6,7,3,3,3,1,"3e72ea66-1f9c-26f1-b6e4-dd59dd71c68b",2,2,2,"Other","High School/Tertiary/Tech. College","$100,000 - $149,999",2
79,NA,NA,NA,NA,1,1,1,2,"3eb6f571-c1ad-3b22-64f3-c29d019e3f98",0,0,0,"White","University/Higher Education","$25,000 - $49,999",0
21,16,1,1,1,5,4,5,2,"3effb800-5d78-6bbc-af81-8fd4f2b42ee7",4,3,4,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",3.66666666666667
45,NA,NA,NA,NA,4,3,3,1,"3f196e8d-790a-3760-910f-5932425f6d7f",3,2,2,"White","Secondary School","",2.33333333333333
51,NA,NA,NA,NA,1,1,1,2,"3f2e17ca-f50c-2758-f648-2005a3c7fd2d",0,0,0,"White","None completed","$0 - $14,999",0
74,NA,NA,NA,NA,NA,NA,NA,2,"3f86378e-e81a-cdf4-420c-00adcb7c0c7e",NA,NA,NA,"White","University/Higher Education","$50,000 - $79,999",NA
66,NA,NA,NA,NA,NA,NA,NA,1,"3fc4800a-b75f-78f4-0088-b7ef4f6472e7",NA,NA,NA,"White","High School/Tertiary/Tech. College","$100,000 - $149,999",NA
52,NA,NA,NA,NA,3,3,4,1,"4044d643-de40-fa59-98c1-e16f288d52af",2,2,3,"White","High School/Tertiary/Tech. College","$15,000 - $24,999",2.33333333333333
54,1,2,3,2,2,3,3,2,"40506b1c-2e91-0046-899e-5c7b6601edf5",1,2,2,"White","High School/Tertiary/Tech. College","",1.66666666666667
19,16,2,7,7,4,4,4,1,"407dcbb7-b094-bbbd-a335-fc564014525e",3,3,3,"Black or African American","High School/Tertiary/Tech. College","$0 - $14,999",3
48,1,3,2,1,2,4,5,2,"411f84a5-1fcd-d9c3-a827-b334ab924e4b",1,3,4,"Black or African American","University/Higher Education","$0 - $14,999",2.66666666666667
39,1,3,2,2,4,2,2,1,"4129afae-4528-9a46-f02c-9802d3dea649",3,1,1,"I prefer not to answer","University/Higher Education","$25,000 - $49,999",1.66666666666667
70,NA,NA,NA,NA,1,1,1,2,"41640194-8b00-5a22-ec16-364fb9d49b79",0,0,0,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",0
51,1,6,1,1,5,5,5,1,"417fc8c9-a8c5-9667-f74b-ff549b1cf82e",4,4,4,"White","University/Higher Education","$50,000 - $79,999",4
60,21,2,1,2,2,2,2,1,"41906a8c-b535-50eb-540e-5dbb6a735d6b",1,1,1,"White","Postgraduate Education","",1
55,13,1,1,2,3,4,4,1,"41efc78b-4955-3641-2b09-f0c4f75fae67",2,3,3,"White","University/Higher Education;University/Higher Education","$25,000 - $49,999",2.66666666666667
70,1,2,1,4,1,1,1,1,"420f6389-e8e5-66bc-850b-542407e0ff64",0,0,0,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",0
60,21,1,6,6,4,3,4,2,"42123f42-12c5-f254-cec0-0839302bed95",3,2,3,"White","High School/Tertiary/Tech. College","$0 - $14,999",2.66666666666667
53,16,1,1,2,4,4,4,2,"428da4e2-9eff-e812-5560-93a65e53660f",3,3,3,"White","University/Higher Education","$50,000 - $79,999",3
52,NA,NA,NA,NA,NA,NA,NA,2,"42991be7-2948-83c8-4365-2cb2e1d8ec0a",NA,NA,NA,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",NA
51,16,6,4,4,4,4,4,2,"42a14368-b350-9193-f1e9-748a4579c381",3,3,3,"Other","University/Higher Education","$15,000 - $24,999",3
46,1,2,1,1,4,4,4,1,"42b5251b-b6c5-7634-3d99-129e39891ff3",3,3,3,"Asian","University/Higher Education","$100,000 - $149,999",3
64,1,5,1,2,3,3,3,2,"42c1a24f-0284-f148-49cd-95eac94b2aa6",2,2,2,"White","University/Higher Education","$50,000 - $79,999",2
47,7,1,5,1,4,4,4,2,"43103c35-e6a9-4125-ceb7-0b3b5b1724dd",3,3,3,"Black or African American","High School/Tertiary/Tech. College","$0 - $14,999",3
75,NA,NA,NA,NA,NA,NA,NA,2,"43703ba0-e23b-ccd2-b422-0c5b5310664d",NA,NA,NA,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",NA
66,NA,NA,NA,NA,3,3,3,1,"43728567-015e-d405-fae5-b259adf509b7",2,2,2,"White","High School/Tertiary/Tech. College","$15,000 - $24,999",2
56,11,1,1,1,1,5,5,2,"43877108-4a34-ce6f-438a-46ac50cc53e1",0,4,4,"White","University/Higher Education","",2.66666666666667
76,4,1,4,4,4,4,4,2,"438e4381-b642-15a9-0603-74a51b882271",3,3,3,"White","University/Higher Education","$25,000 - $49,999",3
38,16,1,2,3,3,3,3,1,"43a4d90d-d1c9-8800-2c8f-ee8f3e63c5e5",2,2,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",2
41,1,3,1,1,1,1,1,2,"43cd75c6-a068-8268-1244-42e6a3684321",0,0,0,"White","Postgraduate Education","$50,000 - $79,999",0
40,3,2,3,2,1,3,2,2,"44261d87-7aa5-3048-e205-2a0dff6b626f",0,2,1,"I prefer not to answer","High School/Tertiary/Tech. College","",1
72,16,1,2,4,4,4,4,1,"444a2e82-9b73-baad-c400-19612793d065",3,3,3,"White","University/Higher Education","$25,000 - $49,999",3
42,16,2,1,1,3,4,4,2,"44682a48-12f6-e486-acca-1d4376ddd5b0",2,3,3,"Asian","University/Higher Education","",2.66666666666667
75,1,2,7,7,4,4,4,1,"448019bc-8727-60dc-5b3e-2eaba8de6051",3,3,3,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",3
35,NA,NA,NA,NA,4,2,2,1,"44a770a1-b5b5-453a-6323-478cf3c33269",3,1,1,"White","Postgraduate Education","",1.66666666666667
20,NA,NA,NA,NA,2,3,3,1,"44abcb60-d574-ffd4-6fe2-fc809cb31187",1,2,2,"","University/Higher Education","",1.66666666666667
74,11,5,3,6,1,1,1,2,"44badf54-caaa-2326-7ed6-e891fa520dbd",0,0,0,"White","High School/Tertiary/Tech. College","",0
65,16,1,3,3,5,1,1,1,"44bb877b-5629-cce7-33f9-b0906ae14296",4,0,0,"Black or African American","University/Higher Education","$100,000 - $149,999",1.33333333333333
58,16,3,1,1,4,4,4,1,"44ff3ae7-afdd-493a-2665-0dd429ac5509",3,3,3,"White","University/Higher Education","",3
21,16,3,1,1,5,5,4,1,"452bd022-efbb-f8fe-9ca0-e7002be8b6ca",4,4,3,"Black or African American","University/Higher Education","$15,000 - $24,999",3.66666666666667
65,1,1,3,3,5,5,4,2,"45d12c90-ff80-ac07-1512-1bfade3d187c",4,4,3,"White","University/Higher Education","$100,000 - $149,999",3.66666666666667
22,1,2,1,1,3,3,3,1,"46a1457d-9292-191d-29ff-728ab4ce1b9a",2,2,2,"White","","$15,000 - $24,999",2
51,9,3,1,1,3,5,4,2,"46b43267-7729-dd3a-6be5-059faf248c89",2,4,3,"Black or African American","University/Higher Education","$50,000 - $79,999",3
50,NA,NA,NA,NA,2,2,1,2,"46b53172-8ae1-281e-70f0-069ea6f44c9f",1,1,0,"Black or African American","Secondary School","$50,000 - $79,999",0.666666666666667
71,16,1,2,2,3,3,3,1,"46b9b5f6-9ef3-a6ee-7d74-8292d2fc7a2c",2,2,2,"White","University/Higher Education;University/Higher Education","$100,000 - $149,999",2
42,16,4,1,1,5,5,5,2,"46dd8628-b8f4-96f1-05aa-b1f627dd5cc7",4,4,4,"Black or African American","High School/Tertiary/Tech. College","",4
28,NA,NA,NA,NA,2,2,1,2,"470cc6da-8172-e9fc-c858-f1272fb91933",1,1,0,"White","High School/Tertiary/Tech. College","",0.666666666666667
58,1,1,1,3,1,2,2,1,"4719a010-246e-7777-c592-97326caae5fd",0,1,1,"White","University/Higher Education","$100,000 - $149,999",0.666666666666667
47,11,1,4,6,3,3,3,2,"47778cbc-c16b-e8c9-af3e-bb5c420f0257",2,2,2,"Black or African American","High School/Tertiary/Tech. College","$15,000 - $24,999",2
46,16,3,6,6,3,3,3,1,"481e57e5-c924-5ce6-c767-6035c705c81d",2,2,2,"White","University/Higher Education","$15,000 - $24,999",2
57,16,1,1,1,4,4,4,2,"48420b4a-0085-d223-86c8-3c69d1dce7a0",3,3,3,"White","University/Higher Education","$15,000 - $24,999",3
57,NA,NA,NA,NA,2,3,1,2,"4895c752-c979-b445-4cd0-f0be2bf9cabe",1,2,0,"Hispanic or Latino","High School/Tertiary/Tech. College","",1
60,16,1,3,3,4,3,4,2,"48d0d611-b156-fb50-1493-e1fb85b751c1",3,2,3,"White","Postgraduate Education","$100,000 - $149,999",2.66666666666667
31,1,3,2,3,5,5,5,1,"49499a3b-fd3a-a8ba-8db9-ad62c8153ad3",4,4,4,"White","University/Higher Education","$25,000 - $49,999",4
55,1,1,1,1,4,3,3,1,"4977d21d-80ce-edbd-ad9f-e55ca53646f4",3,2,2,"White","University/Higher Education","$50,000 - $79,999",2.33333333333333
44,1,1,1,1,3,3,3,1,"497e019a-946b-5120-f618-365581228c7d",2,2,2,"Black or African American","University/Higher Education","$50,000 - $79,999",2
74,1,3,1,1,1,5,5,1,"498a52aa-d6a3-0c20-0228-65a1f1f28547",0,4,4,"White","University/Higher Education","$100,000 - $149,999",2.66666666666667
41,16,1,1,1,5,5,5,2,"49ffd77d-cdc6-8f4e-77ff-e0d4f612459a",4,4,4,"White","University/Higher Education","$100,000 - $149,999",4
35,16,7,1,1,4,3,3,1,"4a2dd397-0c20-f1ba-e915-e4063b7eed66",3,2,2,"Black or African American","University/Higher Education","$0 - $14,999",2.33333333333333
77,1,1,1,1,1,5,3,2,"4a363f31-cedf-8295-eeb3-081dfc6105f9",0,4,2,"White","University/Higher Education","",2
55,16,4,1,1,5,5,5,1,"4ae22de0-bc35-3036-2762-1ac928d4bb1c",4,4,4,"White","University/Higher Education","$50,000 - $79,999",4
68,1,3,1,1,2,2,2,1,"4b132613-cbb1-1bc3-d791-1138174fcbd9",1,1,1,"White","University/Higher Education","",1
75,11,2,1,1,5,5,5,1,"4b5071b4-bf87-aaa7-9436-467b54505a44",4,4,4,"White","University/Higher Education","$25,000 - $49,999",4
