"Age","spBrand","spAge","spWBUseFreq","spSEUseFreq","spComfInstallBrowser","spComfDefaultBrowserChange","spComfDefaultSearchChange","Sex","GUID","spComfInstallBrowser_recode","spComfDefaultBrowserChange_recode","spComfDefaultSearchChange_recode","Ethnicity","Education","Income","spComfort"
24,15,2,3,4,1,4,5,2,"0e628be8-206f-827c-a66a-bc49ba65c70f",0,3,4,"Hispanic or Latino","High School/Tertiary/Tech. College","",2.33333333333333
35,1,1,1,2,3,4,3,1,"0e7a0b00-f412-9537-f482-3c515573a6e7",2,3,2,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",2.33333333333333
49,11,2,7,7,3,3,3,2,"0f0aaf17-367d-a962-8095-98218e07a3ff",2,2,2,"White","Postgraduate Education","$50,000 - $79,999",2
81,1,6,2,2,4,3,4,2,"0f2c9edf-1190-e21a-f45d-a9074e2cd532",3,2,3,"White","University/Higher Education","$150,000 - $199,999",2.66666666666667
57,16,5,1,1,1,1,1,1,"0f358c15-37a0-c9df-ed97-bb1e5956cff8",0,0,0,"White","University/Higher Education","$0 - $14,999",0
18,NA,NA,NA,NA,NA,NA,NA,2,"0fab5bb8-078d-7dcf-b139-6c80f4cf2254",NA,NA,NA,"Hispanic or Latino","Primary School","$0 - $14,999",NA
55,16,4,1,1,5,5,5,1,"0fe0735f-9246-64b9-25dd-44cbad5655b8",4,4,4,"American Indian or Alaska Native","University/Higher Education","$50,000 - $79,999",4
69,NA,NA,NA,NA,NA,NA,NA,2,"10057baf-dd66-520c-dd2d-4c2e3fadd948",NA,NA,NA,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",NA
23,16,3,1,4,2,2,2,2,"1013f65d-cd61-ff2b-d7df-c138088bc9b4",1,1,1,"Asian","University/Higher Education","",1
77,NA,NA,NA,NA,NA,NA,NA,1,"10360526-0458-52ea-bea4-321d4cf88cce",NA,NA,NA,"Asian","University/Higher Education","$0 - $14,999",NA
67,1,2,6,5,2,2,3,2,"10a62d63-10c1-1844-7ce1-1a8d33e7d18e",1,1,2,"White","Primary School","$0 - $14,999",1.33333333333333
43,16,3,1,1,1,1,1,2,"10be5c0c-d7e7-46db-7b8e-6b954bc631e7",0,0,0,"White","High School/Tertiary/Tech. College","$0 - $14,999",0
70,16,1,1,1,1,1,1,1,"10bfcc97-70ca-39a9-7b15-fb945cff947c",0,0,0,"White","High School/Tertiary/Tech. College","$25,000 - $49,999",0
50,7,3,1,1,2,1,4,2,"10fc93ad-f457-b71b-382f-a4d72837134a",1,0,3,"","University/Higher Education","",1.33333333333333
58,11,1,1,4,4,4,3,2,"111a4510-f9ca-ce65-c392-7231804303f8",3,3,2,"Black or African American","High School/Tertiary/Tech. College","$25,000 - $49,999",2.66666666666667
33,2,4,3,3,5,5,3,1,"11739824-f15c-a7e5-b7a6-af585c2416d4",4,4,2,"Hispanic or Latino","University/Higher Education","",3.33333333333333
19,NA,NA,NA,NA,NA,NA,NA,1,"11c83dfa-828c-1473-0c78-0ae3a84e6613",NA,NA,NA,"Black or African American","High School/Tertiary/Tech. College","",NA
32,7,2,1,1,5,5,5,1,"11e5ffb9-bcb7-94eb-e238-c8ceef207f5e",4,4,4,"White","University/Higher Education","$50,000 - $79,999",4
39,16,1,1,2,4,5,4,2,"11fcfac5-903a-631f-7247-cdd747af812d",3,4,3,"White","University/Higher Education","$100,000 - $149,999",3.33333333333333
29,NA,NA,NA,NA,NA,NA,NA,1,"1203815a-0b8b-d0b1-8bd8-b62885415fb7",NA,NA,NA,"White","University/Higher Education","$100,000 - $149,999",NA
21,NA,NA,NA,NA,2,3,4,1,"1253b1a6-83f2-4f65-5527-86785dc0414b",1,2,3,"I prefer not to answer","None completed","",2
66,NA,NA,NA,NA,2,3,3,1,"13271ab6-45ae-8446-a934-2d0c0934685f",1,2,2,"White","High School/Tertiary/Tech. College","",1.66666666666667
44,19,3,5,4,3,3,3,1,"1360c30e-3eb0-5402-ee8c-f44b8d2563f8",2,2,2,"Asian","University/Higher Education","",2
53,1,5,5,5,3,2,2,1,"13eccefc-c2d4-eae7-287e-f9c734002614",2,1,1,"White","University/Higher Education","",1.33333333333333
27,16,2,1,1,4,4,4,1,"1453542c-2e79-a479-8aae-6378f515ebcb",3,3,3,"White","University/Higher Education","$100,000 - $149,999",3
25,1,1,1,3,5,5,NA,1,"1468f36b-d8d3-a0bf-e0e9-c443721f4c83",4,4,NA,"White","University/Higher Education","$25,000 - $49,999",NA
23,11,4,5,3,1,2,2,1,"14740a79-3703-1898-acfb-3d5f790ecf9e",0,1,1,"White","University/Higher Education","$50,000 - $79,999",0.666666666666667
24,7,2,1,2,1,1,2,1,"1488592b-c9f3-2b13-56a9-6ea3561c33c3",0,0,1,"White","High School/Tertiary/Tech. College","",0.333333333333333
39,NA,NA,NA,NA,NA,NA,NA,2,"148eb16d-01c9-b869-4aef-86a502fbe59a",NA,NA,NA,"Asian","University/Higher Education","$80,000 - $99,999",NA
20,NA,NA,NA,NA,NA,NA,NA,1,"1498200b-fad3-142a-5c89-17b37de41dfb",NA,NA,NA,"I prefer not to answer","High School/Tertiary/Tech. College","",NA
38,16,1,1,4,5,4,4,2,"1500d8f7-64b7-6ddf-c475-ef2b4d10831f",4,3,3,"Asian","High School/Tertiary/Tech. College","$25,000 - $49,999",3.33333333333333
54,2,1,6,5,1,2,5,2,"1508e4bc-ef23-4746-cc3e-d32311c20a55",0,1,4,"I prefer not to answer","Secondary School","",1.66666666666667
66,11,2,1,1,4,4,4,2,"15310433-f79d-43a8-b9b1-331a2225a7db",3,3,3,"White","High School/Tertiary/Tech. College","$0 - $14,999",3
34,NA,NA,NA,NA,3,3,3,1,"153a73f8-ca64-e3c0-b47a-441157f4c310",2,2,2,"White","High School/Tertiary/Tech. College","",2
38,16,3,2,2,4,4,4,1,"1554a8d8-b15c-f148-dc5a-9f7fef06a435",3,3,3,"Asian","University/Higher Education","$25,000 - $49,999",3
56,16,2,2,2,4,4,4,1,"15868348-7d0d-ad79-43ca-b4ad68e6b8b0",3,3,3,"White","University/Higher Education","$25,000 - $49,999",3
61,22,2,1,1,3,3,4,1,"15bf4110-1630-2285-6692-7694ecacf3e6",2,2,3,"White","University/Higher Education","",2.33333333333333
39,NA,NA,NA,NA,3,3,3,1,"15e2a453-9514-f2ed-6ad1-93c9c7ff8585",2,2,2,"White","Postgraduate Education","",2
33,NA,NA,NA,NA,NA,NA,NA,2,"16221f38-81b2-86a9-24b9-28092f28a2d5",NA,NA,NA,"Hispanic or Latino","High School/Tertiary/Tech. College","$80,000 - $99,999",NA
67,18,1,1,2,3,3,4,1,"16346849-8386-63f7-eccb-5f1fda8e42a5",2,2,3,"White","High School/Tertiary/Tech. College","$50,000 - $79,999",2.33333333333333
26,1,1,1,1,3,5,5,1,"166de248-dd72-e562-e7ca-d546608a4ba1",2,4,4,"Hispanic or Latino","High School/Tertiary/Tech. College","$0 - $14,999",3.33333333333333
